timestamp,input_time_ms,value
2025-11-26T07:44:13.731Z,85,overloaded
2025-11-26T07:44:13.874Z,80,overloaded
2025-11-26T07:44:14.040Z,69,overloaded
2025-11-26T07:44:14.157Z,47,overloaded
2025-11-26T07:44:14.307Z,78,overloaded
2025-11-26T07:44:14.484Z,63,overloaded
2025-11-26T07:44:14.608Z,38,overloaded
2025-11-26T07:44:14.739Z,53,overloaded
2025-11-26T07:44:14.898Z,73,overloaded
2025-11-26T07:44:15.064Z,38,overloaded
2025-11-26T07:44:15.203Z,72,overloaded
2025-11-26T07:44:15.376Z,102,overloaded
2025-11-26T07:44:15.537Z,75,overloaded
2025-11-26T07:44:15.677Z,25,overloaded
2025-11-26T07:44:15.848Z,104,overloaded
2025-11-26T07:44:16.065Z,256,overloaded
2025-11-26T07:44:16.167Z,29,overloaded
2025-11-26T07:44:16.306Z,37,overloaded
2025-11-26T07:44:16.469Z,94,overloaded
2025-11-26T07:44:16.651Z,71,overloaded
2025-11-26T07:44:16.804Z,84,overloaded
2025-11-26T07:44:16.963Z,97,overloaded
2025-11-26T07:44:17.154Z,72,overloaded
2025-11-26T07:44:17.255Z,24,overloaded
2025-11-26T07:44:17.426Z,82,overloaded
2025-11-26T07:44:17.561Z,72,overloaded
2025-11-26T07:44:17.719Z,76,overloaded
2025-11-26T07:44:17.864Z,65,overloaded
2025-11-26T07:44:18.011Z,42,overloaded
2025-11-26T07:44:18.165Z,54,overloaded
2025-11-26T07:44:18.313Z,29,overloaded
2025-11-26T07:44:18.501Z,33,overloaded
2025-11-26T07:44:18.675Z,101,overloaded
2025-11-26T07:44:19.333Z,25569,tired
2025-11-26T07:44:19.537Z,118,tired
2025-11-26T07:44:20.059Z,145,tired
2025-11-26T07:44:20.312Z,68,tired
2025-11-26T07:44:20.495Z,87,tired
2025-11-26T07:44:27.021Z,8256,ok
2025-11-26T07:44:27.219Z,44,ok
2025-11-26T07:44:27.284Z,181,ok
2025-11-26T07:44:27.432Z,75,ok
2025-11-26T07:44:27.570Z,62,ok
